city,country,lat,lon,baseline_temp_c,future_temp_c,delta_temp_c,delta_summer_temp_c,delta_precip_pct,baseline_heat_days,future_heat_days,delta_heat_days,resilience_score,risk_tier
Zurich,Switzerland,47.3744,8.541,10.0,11.7,1.7,2.0,-4.3,0.0,0.0,0.0,65.1,Moderate Risk
Geneva,Switzerland,46.2018,6.1466,10.6,12.4,1.8,2.1,-8.0,0.0,0.0,0.0,55.9,Moderate Risk
Basel,Switzerland,47.5581,7.5878,10.5,12.2,1.8,2.1,-4.1,0.0,1.0,1.0,61.5,Moderate Risk
Lausanne,Switzerland,46.5218,6.6327,10.4,12.2,1.8,2.1,-6.5,0.0,0.0,0.0,58.3,Moderate Risk
Lugano,Switzerland,46.005,8.952,12.9,14.6,1.7,2.1,-11.0,0.0,0.0,0.0,52.6,Moderate Risk
Bern,Switzerland,46.9485,7.4522,8.6,10.4,1.8,2.0,-4.9,0.0,0.0,0.0,62.4,Moderate Risk
Reykjavik,Iceland,64.146,-21.9422,4.5,5.6,1.1,0.9,5.6,0.0,0.0,0.0,89.1,Low Risk
Oslo,Norway,59.9133,10.739,6.4,8.1,1.8,1.6,0.3,0.0,0.0,0.0,75.8,Low Risk
Trondheim,Norway,63.4304,10.3952,4.7,6.2,1.5,1.3,6.3,0.0,0.0,0.0,75.4,Low Risk
Bergen,Norway,60.3943,5.3259,6.9,8.1,1.2,1.1,5.3,0.0,0.0,0.0,85.0,Low Risk
London,United Kingdom,51.5074,-0.1278,10.7,12.1,1.3,1.6,-1.6,0.0,0.0,0.0,82.0,Low Risk
Stavanger,Norway,58.97,5.7318,7.8,9.0,1.1,1.1,3.2,0.0,0.0,0.0,90.1,Low Risk
Copenhagen,Denmark,55.6867,12.5701,8.9,10.5,1.6,1.5,-1.1,0.0,0.0,0.0,79.3,Low Risk
Amsterdam,Netherlands,52.3731,4.8925,10.4,11.7,1.3,1.4,-3.0,0.0,0.0,0.0,82.7,Low Risk
Pisa,Italy,43.4715,10.6798,14.3,16.1,1.7,2.2,-10.6,1.0,4.1,3.1,49.4,High Risk
Stockholm,Sweden,59.3251,18.0711,7.2,9.0,1.8,1.5,-1.8,0.0,0.0,0.0,74.8,Moderate Risk
Luxembourg,Luxembourg,49.8159,6.1297,9.3,11.0,1.7,2.1,-6.1,0.0,0.0,0.0,60.6,Moderate Risk
Haarlem,Netherlands,52.3837,4.6436,10.7,12.0,1.2,1.2,-3.4,0.0,0.0,0.0,86.6,Low Risk
Aalborg,Denmark,57.0463,9.9215,8.8,10.2,1.5,1.4,0.9,0.0,0.0,0.0,82.8,Low Risk
Aarhus,Denmark,56.1496,10.2134,9.0,10.5,1.5,1.4,-0.4,0.0,0.0,0.0,83.6,Low Risk
Paris,France,48.8535,2.3484,11.6,13.2,1.6,2.1,-3.4,0.0,1.0,1.0,66.0,Moderate Risk
Utrecht,Netherlands,52.0907,5.1216,10.4,11.8,1.4,1.5,-4.4,0.0,0.0,0.0,77.2,Low Risk
Salzburg,Austria,47.7981,13.0465,8.8,10.5,1.7,1.9,-1.5,0.0,0.0,0.0,71.1,Moderate Risk
Munich,Germany,48.1371,11.5754,8.8,10.5,1.7,1.9,0.7,0.0,0.0,0.0,72.4,Moderate Risk
Espoo,Finland,60.205,24.656,6.0,8.3,2.4,1.6,-1.2,0.0,0.0,0.0,64.3,Moderate Risk
Dublin,Ireland,53.3494,-6.2606,10.4,11.4,1.0,1.1,0.0,0.0,0.0,0.0,97.0,Low Risk
Odense,Denmark,55.3997,10.3852,9.2,10.7,1.5,1.3,-2.0,0.0,0.0,0.0,82.4,Low Risk
Guildford,United Kingdom,51.2356,-0.5732,10.7,12.0,1.3,1.6,-2.1,0.0,0.0,0.0,81.2,Low Risk
Oxford,United Kingdom,51.752,-1.2578,10.2,11.5,1.3,1.5,-0.5,0.0,0.0,0.0,85.3,Low Risk
Vienna,Austria,48.2084,16.3725,10.7,12.6,1.9,2.2,-3.7,0.0,1.8,1.8,58.4,Moderate Risk
Nice,France,43.7009,7.2684,15.6,17.3,1.7,2.2,-10.8,0.0,0.0,0.0,51.5,Moderate Risk
Milan,Italy,45.4642,9.1896,12.6,14.6,1.9,2.6,-10.0,2.0,5.0,3.0,41.3,High Risk
Delft,Netherlands,51.9995,4.3627,10.7,11.9,1.3,1.2,-3.6,0.0,0.0,0.0,84.6,Low Risk
Rotterdam,Netherlands,51.9244,4.4778,10.7,11.9,1.3,1.3,-3.7,0.0,0.0,0.0,83.0,Low Risk
Frankfurt,Germany,50.1106,8.6821,10.6,12.3,1.7,2.1,-5.5,0.0,1.0,1.0,60.9,Moderate Risk
Brighton,United Kingdom,50.8215,-0.1401,11.1,12.4,1.3,1.4,-2.1,0.0,0.0,0.0,84.1,Low Risk
The Hague (Den Haag),Netherlands,52.102,4.2982,10.7,11.9,1.3,1.2,-3.6,0.0,0.0,0.0,84.6,Low Risk
Helsinki,Finland,60.1666,24.9435,5.9,8.3,2.4,1.6,-1.4,0.0,0.0,0.0,64.0,Moderate Risk
